Sign,DOB,Name_of_person,place_of_birth,time_of_birth,latitude,longitude
taurus,29-08-1990,Deepanshu,Patna ,10:9,25.6093239,85.1235252
virgo,05-05-1989,Chandresh,Gondiya ,9:55,21.1456285,80.26838674856234
capricorn,08-09-1975,Karmendra,Kalol ,4:46,22.6103179,73.4617061
gemini,15-08-1956,Ganesh,Raichur,5:18,16.054719400000003,76.90036472411589
libra,05-06-1993,Deep,Ujjain ,19:30,23.1885131,75.7716562
aquarius,02-01-1989,Manisha,Roorkee ,14:21,29.8693496,77.8902124
cancer,06-09-1959,Kashish,Bamanpuri,4:36,22.30521865,75.93472404565608
scorpio,31-05-1995,Akshita,Mahbubnagar ,4:27,16.7434538,77.9923191
pisces,05-03-1976,Havya,Kanpur ,21:41,26.4609135,80.3217588
aries,16-07-1989,Apsara,Kavaratti,14:43,10.55905,72.63656879807692
leo,15-03-1947,Iqra,Jagadhri ,0:48,30.1532045,77.30119568916503
sagittarius,11-02-1964,Aparsha,Tiruvannamalai,14:26,12.2343228,79.0761989
taurus,10-01-1966,Elavarasi,Rohtak ,9:41,28.9010899,76.5801935
virgo,24-07-1953,Abhinav,Lakhimpur ,15:50,27.17633555,94.19929317390199
capricorn,05-05-1994,Aishwarya,Panaji,6:1,15.4989946,73.8282141
gemini,02-09-1955,Aarti,Budaun,3:1,28.116667,78.983333
libra,07-01-1956,Adarsh,Hapur ,23:2,28.739459150000002,77.83517038273197
aquarius,20-07-1969,Kiranpreet,Hathras ,5:37,27.5724324,78.11162088731544
cancer,02-02-1949,Annanya,Gaya,9:31,24.7964355,85.0079563
scorpio,04-04-1971,Jigishu,Rajapalaiyam,14:15,9.4522179,77.5607781
pisces,20-09-1945,Harini,Saharanpur,3:33,29.9856799,77.50406459058038
aries,19-08-1977,Harbans,Allahabad,9:30,25.4381302,81.8338005
leo,17-06-1950,Gurbani,Sultan Pur Majra ,1:49,,
sagittarius,09-08-1980,Dheeraj,Munger ,6:58,25.2202864,86.51614835791698
taurus,20-06-1987,Prashant,Bally ,3:8,22.6469581,88.343612
virgo,25-08-1955,Anika,Nagercoil,10:36,8.1880471,77.4290492
capricorn,25-03-1985,Madhav,Bharatpur ,18:6,27.024695899999998,77.29201163357268
gemini,07-11-1987,Elamathi,Hoshiarpur ,15:32,31.60929415,75.84597544153354
libra,06-08-1971,Arman,Valsad ,9:1,20.43219565,73.14098929730321
aquarius,13-07-2000,Debesh,Sehore ,17:52,23.115004149999997,77.06653558236647
cancer,14-09-1995,Gopal,Raurkela Town ,5:32,,
scorpio,31-12-1991,Kunal,Gwalior ,0:5,26.2037247,78.1573628
pisces,24-02-1942,Rajan,Sultanpur ,7:40,26.260473150000003,82.23805321467546
aries,30-03-1985,Eesha,Imphal ,2:21,24.7991162,93.9364419
leo,12-03-1958,Alka,Neyveli ,15:4,11.535987,79.4824392
sagittarius,26-11-1975,Surendra,Dabgram ,11:20,,
taurus,12-10-1955,Charulata,Suryapet ,4:22,17.08001385,79.7925329742427
virgo,15-10-1974,Mala,Dimapur ,14:27,25.911744,93.721703
capricorn,12-09-1981,Aahana,Kinnaur,6:34,31.593012950000002,78.32814168568953
gemini,20-02-1958,Ishya,Bharauri,2:53,,
libra,14-03-1957,Aayansh,Kolhapur ,2:59,16.7028412,74.2405329
aquarius,08-03-1953,Lakshmika,Kanyakumari,21:50,8.079252,77.5499338
cancer,27-08-1950,Harshita,Bijapur ,23:44,16.8269911,75.7175387
scorpio,19-09-1951,Anvit,Kumarakom,2:6,9.5949953,76.4302599
pisces,17-06-2001,Ekaja,Chandigarh ,12:48,30.7334421,76.7797143
aries,01-03-1948,Adhyantika,Srisailam,18:1,16.0737808,78.8727065
leo,16-10-1995,Anusha,Jalpaiguri ,14:37,26.62628045,88.73344851670664
sagittarius,01-01-1969,Kayalvizhi,Palanpur ,10:14,24.1709794,72.4366375
taurus,21-08-1962,Abhigya,Santipur ,22:46,22.2736935,88.478716
virgo,05-04-1970,Amara,Sitapur ,16:32,27.502674749999997,80.833513937751
capricorn,13-03-1965,Parul,Medinipur ,8:42,22.4207025,87.3269963
gemini,27-02-1959,Anjali,Kufri,19:28,31.1885191,77.027818
libra,07-03-1993,Archi,Deesa ,18:44,24.2594977,72.1803348
aquarius,04-04-1987,Ravi,Bhagalpur,16:25,25.286135350000002,87.13042293057262
cancer,17-04-1952,Dipa,Morvi ,9:38,25.26490965,82.98577262135697
scorpio,04-08-1996,Kritagya,Dhaulpur ,11:7,26.65303315,77.62410372608912
pisces,21-11-1971,Pramila,Khargone ,12:16,21.825599,75.614182
aries,29-04-1953,Ganika,Aurangabad ,6:10,24.75,84.5
leo,11-07-1964,Chaitali,Coimbatore ,13:37,11.0018115,76.9628425
sagittarius,14-11-1985,Praveen,Proddatur ,17:55,14.7555953,78.5501531
taurus,10-03-1983,Archita,Gurugram,15:36,28.4646148,77.0299194
virgo,07-01-1966,Jahangeer,Shiliguri,2:35,26.7164127,88.4309916
capricorn,23-06-1973,Gajdant,Silchar,12:38,24.817861100000002,92.75622075294373
gemini,17-11-1991,Anupam,Shahjahanpur ,18:0,27.9128583,79.74762537616267
libra,13-04-1992,Darshan,Ahmedabad,4:21,23.0215374,72.5800568
aquarius,25-04-1993,Jasmine,Hyderabad,15:32,17.360589,78.4740613
cancer,15-09-1960,Aviral,Hubli-Dharwad ,4:15,15.3518378,75.1379848
scorpio,16-07-1965,Hariharan,Ramagundam ,5:13,18.7615156,79.4787848
pisces,23-08-1962,Chak,Gudivada ,8:39,16.4329976,80.9937151
